job_title,industry,location,type,minimum_job_year,needed,company_name,Requirements,
Frontend Development,IT (Pengembangan Software dan Website),Bandung,Full-time,1,1,PT EIGEN TRI MATHEMA,"Kami mencari kandidat yang memiliki minimal 2 tahun pengalaman dalam rekayasa perangkat lunak dan memiliki pengalaman dalam bahasa pemrograman JavaScript, CSS, SCSS, SASS, HTML, serta mampu menggunakan Library/Framework React JS dan Vue JS. Kandidat ideal juga harus memiliki pengalaman menggunakan API, dapat menggunakan Code Versioning (GIT), dan terbiasa dengan ekosistem open source front-end serta memiliki kemampuan untuk memilih platform yang tepat untuk tugas yang ada. Selain itu, kandidat diharapkan memiliki kemampuan membuat code yang maintainable dan scalable dalam tim, familiar dengan Unit Testing, memiliki keterampilan debugging yang kuat, dan dapat bekerja mandiri maupun dalam tim dalam lingkungan kolaboratif dengan berbagai arsitektur perangkat lunak, terutama di lingkungan yang cepat dan berorientasi pada tenggat waktu. Kemampuan analitis, inisiatif tinggi, pengambilan keputusan, pemecahan masalah, dan manajemen waktu yang sangat baik juga diharapkan. Kandidat yang senang belajar hal baru dan menyukai tantangan, serta bertempat tinggal di Bandung dan sekitarnya, atau bersedia untuk relokasi ke Bandung, sangat kami perlukan.",
Customer Support Executive (IT) (Bandung & Batam),IT,Batam,Full-time,1,2,PT.InnoArk Servis Internasional,"The ideal candidate for this position must have a strong command of English, with an educational background in IT software. They should possess knowledge of support framework best practices and have a minimum of 2 years of experience in technical customer support or application customer support, ideally within a software or technology company. Technical skills should include a strong aptitude for troubleshooting and analyzing complex technical issues, along with proficiency in using SQL commands. Excellent communication skills are crucial, as the role involves effectively conveying technical information to non-technical users. The ability to work both independently and collaboratively in a fast-paced environment is essential. Familiarity with ticketing systems like Zendesk is preferred, and fluency in Mandarin for communication with Mandarin-speaking clients is an advantage. Flexibility to work overtime when needed is also required for this role.",
Content Strategist,Financial Technology,Yogyakarta,Full-time,1,1,PT Viapulsa Global Indonesia,"The ideal candidate will have a bachelor's degree in any field and at least two years of experience in a similar content strategy role. They should possess strong skills in content creation, calendar planning and scheduling, and content development, along with expertise in audience research, persona development, and the implementation of effective social media strategies. Proficiency in SEO and content optimization, copywriting, editing, and storytelling is essential. The candidate must demonstrate the ability to rapidly adapt to new content trends and platform changes, exhibit excellent communication and collaboration skills, and have experience working in cross-functional teams. Familiarity with social media management tools, project management tools, and audience insights tools is required. The candidate should be highly organized, detail-oriented, and capable of managing time and prioritizing tasks effectively. A creative thinker with a proven track record of innovative content solutions and strong analytical abilities to measure and drive the effectiveness of content initiatives is highly desirable.",
Performance Marketing Specialist,Financial Technology,Yogyakarta,Full-time,1,1,PT Viapulsa Global Indonesia,"The ideal candidate will have a bachelor's degree in any field and a minimum of two years of experience in performance marketing, specifically with Google Ads, Meta Ads, and Tiktok Ads. They should possess a strong understanding of and experience with SEO, Google Tag Manager, and Google Analytics, alongside robust analytical skills and experience in data analysis. Technical proficiency in HTML, CSS, and JavaScript is essential. The candidate must be able to adapt quickly to changing trends and technology, and demonstrate good communication and collaboration skills to work effectively in a multidisciplinary team. Additionally, they should be creative, innovative, and have high problem-solving abilities.",
Software Developer,IT For Education,Tangerang Selatan,Full-time,1,2,PT Pesona Edukasi,"The ideal candidate will hold a D3/S1 degree in Computer Science, Engineering, or a related subject and possess strong algorithmic skills. They should have experience or knowledge of JavaScript, TypeScript, or Python, as well as familiarity with frontend frameworks such as React, Vue, or Solid. Proficiency in working with relational database management systems (RDBMS) like PostgreSQL or MySQL/MariaDB is required. The candidate must be able to work under pressure, be a fast learner, a critical thinker, and be capable of multitasking. Strong communication and interpersonal skills, along with the ability to work independently, are essential.",
Customer Care Staff,Financial Technology,Yogyakarta,Full-time,1,3,PT Viapulsa Global Indonesia,"The ideal candidate will have completed SMA/SMK or hold an S1 degree and be no older than 30 years. They should have prior experience working as Customer Care Live Chat and possess knowledge of call center techniques. Proficiency in using customer service software and CRM systems is essential. The candidate must demonstrate a strong commitment to delivering exceptional customer service and have a deep understanding of customer needs. Comprehensive knowledge of our products and services is required. Additionally, they should be capable of using Google Workspace and Microsoft Office and be willing to work on-site in Sleman, Yogyakarta.",
Senior Business Analyst,IT Services and IT Consulting,Bandung,Full-time,4,1,Tritronik,"The ideal candidate will hold a bachelor's degree in Computer Science, Informatics, or a closely related field, with at least five years of experience in areas such as software requirements, business analysis, or a similar field. They should have a comprehensive understanding of business processes, industry trends, and best practices, along with a proven ability to work with cross-functional teams. Familiarity with business analysis tools and methodologies, broad business knowledge, and strategic planning capability are essential. The candidate must possess robust problem-solving and critical-thinking skills, demonstrate initiative, thoroughness, and self-motivation, and have excellent verbal and written communication skills.",
Technical Solution Architect,IT Services and IT Consulting,Bandung,Full-time,1,1,Tritronik,"The ideal candidate should be familiar with Security Operations Center (SOC) procedures and tools, and have hands-on experience with Security Information and Event Management (SIEM) and Security Orchestration, Automation, and Response (SOAR) platforms. They must possess a comprehensive understanding of diverse security protocols and technologies, along with an analytical mindset to evaluate security performance data and recommend actionable insights.",
Head of Project Management,IT Services and IT Consulting,Bandung,Full-time,4,1,Tritronik,"The ideal candidate will have a bachelor's or master's degree in computer science, information technology, business management, or a related field, with 5 to 7 years of project management experience, preferably within the Telco or Software Development sectors. They should possess proven leadership skills focused on developing a professional team with strong interpersonal skills and a quality focus. Experience in using data to provide clarity and visibility into projects, enhancing reporting, documentation, and decision-making is essential. The candidate must be able to align project management practices with organizational strategy and industry trends. Exceptional verbal and written communication skills are required, along with proficiency in project management tools, software, and data analysis tools.",
Quality Assurance Engineer,IT Services and IT Consulting,Bandung,Full-time,1,1,Tritronik,"The ideal candidate will have proven experience as a Quality Assurance Tester or in a similar role, along with working experience in automation testing tools such as Selenium, Robot Framework, and Katalon. They should be familiar with Excel formulas (VLOOKUP, HLOOKUP, IF, COUNT, etc.) and basic SQL queries. Knowledge of Python programming and familiarity with Continuous Integration/Continuous Delivery is a plus. The candidate should have experience in project management and QA methodology, as well as familiarity with Agile frameworks and SCRUM methodology. They must possess the ability to troubleshoot errors or at least identify the root cause before consulting developers. Being detail-oriented is essential, as are good teamwork skills, self-motivation, and the ability to work under low supervision. Excellent verbal and written communication skills, as well as proficiency in English, especially in writing, are required.",
Backend Engineer,IT Services and IT Consulting,Bandung,Full-time,1,1,Tritronik,"The ideal candidate will have at least one year of software development experience in backend development, although fresh graduates are welcome to apply. They should hold a bachelor's or higher degree in Computer Science or related fields, with an in-depth understanding of computer science fundamentals such as data structures, algorithms, operating systems, and databases. The candidate must have strong skills in Core JAVA, server-side Java technologies, and the Spring Boot framework, along with proficiency in OOP, SQL, Design Patterns, and software best practices. They should also possess good knowledge of multi-threading, enterprise integration patterns, event processing platforms (e.g., Kafka, Flink, Spring Cloud Data Flow), Web Services, and REST. Knowledge of NoSQL and JMS is a plus, as is familiarity with CI/CD tooling and infrastructure (e.g., Jenkins, Gitlab CI) and with virtualization, containerization, and orchestration technologies (e.g., Docker, Kubernetes).",
Learning Designer,Technology,Bandung,Contract,0,1,Dicoding,"Kami mencari kandidat yang memiliki latar belakang S1 yang relevan dengan desain pembelajaran, dengan preferensi untuk jurusan Psikologi dan keahlian khusus dalam salah satu dari bidang Psikologi Perkembangan, Pendidikan, Industri dan Organisasi, atau Sosial. Pengalaman dalam merancang program pembelajaran menjadi nilai tambah, begitu pula keahlian dalam menggunakan teknologi pembelajaran daring serta berbagai jenis aktivitas dan tipe penilaian yang mendukung pembelajaran tersebut. Kemampuan menggunakan bahasa Indonesia yang benar dan sesuai dengan standar KBBI dan EYD V sangat dihargai. Selain itu, kandidat harus memiliki keterampilan komunikasi dan kolaborasi yang baik, termasuk kemampuan mengomunikasikan ide dengan logis dan terstruktur, serta mampu bekerja sama dengan tim baik internal maupun eksternal. Kemauan untuk terus belajar dan mengembangkan diri serta kesiapan untuk bekerja secara on-site di Bandung juga menjadi faktor penting dalam pencarian ini.",
Business Process Analyst,Technology,Jakarta Selatan,Full-time,1,5,PT Adinata Mitra Solusi,"Kami mencari individu yang memiliki keterampilan dalam memodelkan proses menggunakan diagram alir proses atau Pemodelan UML, serta kemampuan membaca logika program. Kandidat ideal juga mampu mengoperasikan perangkat lunak MS Office dengan baik, merancang Entity Relationship Diagram (ERD), dan memiliki keakraban dengan berbagai alat prototyping seperti Figma. Selain itu, soft skills juga sangat dihargai, termasuk kemampuan berpikir analitis dan kritis yang baik, kemampuan komunikasi dan presentasi yang efektif, serta keahlian luar biasa dalam bekerja dalam tim.",
Data Architect,Outsourcing,Jakarta Utara,Full-time,1,5,PT Prima Fajar Cahaya Surya,"The ideal candidate for this position should be either male or female and at least 22 years old. They must hold a bachelor's degree in Technology, Computer Engineering, or a related field. A minimum of 2 years of experience is required, particularly in Data Modeling & Architecture Foundation and Business Understanding. The candidate should be proficient in referencing DAMA DMBOK and have at least 1 year of experience as a Data Engineer. Experience in creating Business Requirement Documents (BRD), Functional Specification Documents (FSD), Technical Specification Documents (TSD), and data catalogs is essential. Additionally, the candidate should have experience in Data Design and Data Foundation, a strong understanding of Data and Table Relationships, and the ability to create Entity-Relationship Diagrams (ERD) and other Data Flow diagrams. They should be willing to be placed in North Jakarta.",
Web Developer,IT,Malang,Full-time,0,5,CV. INDOSOFT,,
Junior Software Engineer,IT Services and IT Consulting,Jakarta Selatan,Full-time,0,5,Nostratech,"We're seeking candidates, preferably fresh graduates or with up to two years of experience, who exhibit a genuine passion for software demonstrated through actions rather than mere statements. Proficiency in Java and Object-Oriented Programming Concepts is expected, alongside a strong commitment to continuous learning and the ability to communicate effectively in English. Willingness to relocate and a proactive, resourceful, and creative problem-solving approach are highly valued. This role demands high conceptual and analytical skills and offers an opportunity to contribute meaningfully beyond just a job.",
Customer Service Officer,Software Development,Denpasar,Full-time,1,1,Bima Sakti Alterra,"Kami mencari Sarjana IT dengan minimal 1 tahun pengalaman dalam posisi yang sama atau minimal 3 tahun dalam posisi dukungan pelanggan junior. Kemampuan yang diperlukan meliputi penguasaan database MySQL, loyalitas terhadap perusahaan, kemampuan analisis yang kuat, komunikasi yang baik, kerja tim, pengetahuan produk yang baik, dan kemampuan untuk meningkatkan pengetahuan tentang produk baru. Kandidat ideal harus berorientasi kepada pelanggan untuk mendukung keberhasilan perusahaan.",
Technical Operation Accounting,Software Development,Denpasar,Full-time,1,1,Bima Sakti Alterra,"Candidates with a Bachelor?s degree, Diploma, or Vocational School background in Information Technology, Computer Science, Mathematics, Accounting, or related fields are encouraged to apply. A minimum of 1 year of experience in system support is required, with experience in Accounting systems considered a plus. Fresh Graduates are welcome to apply. Additional skills such as knowledge of Database/SQL are advantageous. Strong organizational skills, attention to detail, and the ability to multitask are essential. Candidates should be comfortable working collaboratively in a team environment and must have a respect for deadlines while striving for high work quality.",
Web Developer,IT,Yogyakarta,Full-time,0,1,PT. Solusi Kampus Indonesia,"We are looking for candidates with a D3/S1 degree in Computer Science, Information Technology, Information Systems, or a related field, who are proficient in web programming with PHP and MySQL. Experience as a PHP developer, especially with PHP-Laravel or Node.js-Express, would be beneficial. The ideal candidate should be open to collaborative work, possess strong analytical and problem-solving skills, demonstrate a proactive attitude towards personal growth, and pay attention to detail.",
Quality Assurance,IT,Yogyakarta,Full-time,0,1,PT. Solusi Kampus Indonesia,"Kami mencari kandidat dengan pendidikan terakhir D3/S1 di bidang Ilmu Komputer, Teknik Informasi, Sistem Informasi, atau bidang serupa, yang memiliki pemahaman yang mendalam tentang metodologi pengembangan perangkat lunak. Kemampuan untuk membuat skenario tes dan mengembangkan tes case untuk aplikasi yang akan diuji sangat diinginkan. Kandidat ideal harus proaktif, memiliki semangat untuk terus berkembang, dan memiliki pengalaman dalam pengujian aplikasi. Pengalaman dalam automasi pengujian akan menjadi nilai tambah yang besar.",
Account Manager,IT,Yogyakarta,Full-time,1,1,PT. Solusi Kampus Indonesia,"Kami mencari kandidat dengan pengalaman minimal 1 tahun di bidang penjualan, khususnya di pasar B2B, terutama dalam sektor pendidikan dan/atau pemerintahan. Pengalaman penjualan produk perangkat lunak sangat diutamakan, dan pengalaman dalam persiapan, pelaksanaan, serta monitoring proyek tender akan menjadi nilai tambah. Kandidat yang ideal juga harus memiliki pengalaman yang baik dalam analisis risiko, kemampuan komunikasi yang efektif dalam menangani keluhan dan menyelesaikan masalah, serta ketertarikan dan pengetahuan yang kuat dalam dunia pendidikan tinggi. Kami mengutamakan kandidat yang memiliki domisili yang sama dengan lokasi penempatan (Bandung, Surabaya, Aceh, Padang, Palembang, Papua).",
Application Specialist,IT,Yogyakarta,Full-time,1,2,PT. Solusi Kampus Indonesia,"Kami mencari kandidat dengan pendidikan terakhir D3/S1 di bidang Ilmu Komputer, Teknik Informasi, Sistem Informasi, atau bidang serupa. Pengalaman kerja di bidang yang serupa, minimal 1 tahun, sangat diutamakan. Pengalaman dalam siklus hidup perangkat lunak dan siklus proyek juga diharapkan. Kemampuan komunikasi yang baik, termasuk public speaking, serta kemampuan analisis yang handal, menjadi faktor penting. Kandidat yang mampu bekerja dengan tepat waktu (sesuai deadline), bersedia melakukan perjalanan dinas ke seluruh wilayah Indonesia, dan memahami proses bisnis di perguruan tinggi akan menjadi nilai tambah yang signifikan.",
AI Engineer,Rekrutmen,Luar Negeri,Full-time,1,3,KapanJepan,"We are looking for candidates with practical experience in algorithm development and model building using machine learning, particularly using programming languages like Python and R. Experience with libraries such as Pandas, Numpy, OpenCV, TensorFlow, Keras, and scikit-learn is essential, as well as familiarity with frameworks like Hadoop and Spark. Ideal candidates would be university graduates from science departments such as informatics, statistics, and mathematics, with English proficiency above business level. Additionally, Japanese proficiency above conversational level (N3 or above) would be highly advantageous.",
Data Scientist,Rekrutmen,Luar Negeri,Full-time,1,3,KapanJepan,"The ideal candidate for this data science role should have a strong background in data science with work experience in the field. They should be proficient in programming languages like Python and R, as well as familiar with frameworks such as Hadoop and Spark. A university degree in science-related disciplines such as informatics, statistics, or mathematics is required, along with English proficiency at a business level and Japanese proficiency at least at the N3 level or higher.",
Software Developer Engineer,Rekrutmen,Luar Negeri,Full-time,1,3,KapanJepan,"The ideal candidate for this position should have at least 1 year of experience in web/mobile application development using any programming language and a basic understanding of database management systems (DBMS). A university degree in science-related fields like informatics, statistics, or mathematics is required, along with English proficiency above a business level and Japanese proficiency at or above N3. Preferred qualifications include experience in application development using platforms like AWS, Google Cloud Platform, or Azure, as well as document creation skills in Japanese.",
Backend Developer,IT Consultant,Jakarta Barat,Full-time,1,1,Silvertech Asia,"Candidates should possess a strong proficiency in .NET and/or Node.js, along with hands-on experience in developing RESTful APIs. Knowledge of microservices architecture is highly desirable and considered a significant advantage.",
Fullstack Developer,Teknologi Informasi,Jakarta Barat,Full-time,1,3,Soedarpo Informatika,"Memiliki kemampuan Javascript, Phyton, .Net, Java Spring Boot, Golang, Angular",
Data Engineer,Technology,Jakarta Selatan,Full-time,1,5,PT Adinata Mitra Solusi,,
Cybersecurity Analyst,Technology,Surabaya,Full-time,0,2,Wowrack Indonesia,"The ideal candidate should hold a diploma or bachelor's degree in computer science, information technology, or related fields. While fresh graduates are welcome, experience in cybersecurity is advantageous. Candidates should be familiar with security tools like SIEM, IDS/IPS, firewalls, EDR, Threat Intelligence, and SOAR. They should also demonstrate a keen interest in learning and growing in cybersecurity, possessing basic knowledge of operating systems, servers, applications, networks, and various security domains such as ATP, Network Security, Data Security, Infrastructure Security, System Security, and Application Security. Strong analytical skills, a proactive problem-solving approach, excellent communication, and teamwork abilities are essential, alongside proficiency in English. Possessing relevant certifications like CEH, CHFI, CSA, CompTIA Security+, etc., is beneficial, and candidates should be open to relocating to Surabaya and working in shifts.",
Product Owner,IT (Pengembangan Software dan Website),Bandung,Full-time,1,1,PT EIGEN TRI MATHEMA,"Pelamar ideal harus memiliki pengalaman minimal 2 tahun sebagai Product Owner dengan keterampilan komunikasi verbal dan tertulis yang kuat, serta keterampilan presentasi yang baik. Mereka juga harus memiliki kemampuan analitis dan problem-solving yang sangat baik, perhatian terhadap detail, dan dapat bekerja secara kolaboratif dengan para pemangku kepentingan dan tim pengembangan. Pengetahuan tentang alat pengembangan perangkat lunak dan manajemen proyek juga diperlukan. Pengalaman dalam bidang manajemen, teknologi, atau manufaktur akan menjadi nilai tambah. Lokasi yang diinginkan adalah di Bandung dan sekitarnya, atau kandidat bersedia untuk direlokasi ke Bandung.",
Internship PHP Developer,Teknologi,Jakarta Selatan,Intern,0,1,KODE APLIKASI INDONESIA,"Kami membuka kesempatan bagi fresh graduate atau mahasiswa tingkat akhir, terutama yang mengambil jurusan IT atau SI, yang memiliki perilaku baik, antusias dalam belajar, suka membaca, dan berminat mengikuti internship selama minimal 3 bulan hingga maksimal 1 tahun. Kandidat diharapkan siap menanggung biaya akomodasi dan perjalanan sendiri, serta memiliki attitude dan passion yang kuat di bidang rekayasa perangkat lunak. Kemampuan beradaptasi, keingintahuan yang besar, dan kemauan untuk terus berkembang serta pembelajaran yang cepat sangat dihargai. Pengetahuan tentang HTML5/CSS dan PHP Framework seperti Laravel atau CodeIgniter 3 juga dianggap sebagai nilai tambah.",
Internship iOS Developer,Teknologi,Jakarta Selatan,Intern,0,1,KODE APLIKASI INDONESIA,"Kami merekomendasikan kandidat yang pernah mengikuti kursus online atau offline terkait iOS, termasuk lulusan Dicoding Academy dengan gelar iOS Developer Expert. Lulusan Apple Academy dapat langsung melanjutkan ke tahap wawancara. Selain itu, kami mencari individu yang memiliki perilaku baik, bertanggung jawab, dan memiliki passion yang kuat di bidang pemrograman, terutama terfokus pada pengembangan iOS.",
Mobile Developer (Internship),Consultant IT,Malang,Intern,0,2,PT Sekawan Media Informatika,"Kami mencari calon dengan pendidikan minimal SMK/Diploma/S1 di bidang IT yang bersedia menjalani magang selama minimal 4 bulan secara on-site di Malang, Jawa Timur, dengan membawa laptop pribadi. Kandidat diharapkan memiliki pemahaman mendalam tentang CSS, HTML, Sass, Javascript, AJAX, dan bahasa front-end lainnya, serta memahami React Tools seperti Reactjs dan Redux. Pengetahuan tentang Framework Testing seperti Enzyme dan Jest juga diapresiasi.",
IT Manager,Aplikasi Keuangan,Jakarta Barat,Full-time,4,1,PT. Bukuku Solusi Kreatif,"Kami mencari kandidat dengan minimal gelar S1 di bidang Teknik Komputer, Teknologi Informasi, atau bidang terkait lainnya, minimal 5 tahun pengalaman relevan dalam peran yang sama, dan usia maksimal 40 tahun. Kandidat diharapkan memiliki pengalaman yang kuat dalam membangun, menerapkan, dan menjalankan operasi sehari-hari, serta kemampuan untuk memimpin dan mengelola tim dalam lingkungan yang berorientasi pada kolaborasi. Pengalaman dalam manajemen proyek IT dan Sistem Informasi, pemahaman tentang Sistem ERP, kemampuan membuat flowchart, keterampilan analitis dan pemecahan masalah yang kuat, serta keterampilan komunikasi dan interpersonal yang baik untuk berinteraksi dengan efektif di semua tingkatan dan dengan pemangku kepentingan. Kemampuan bekerja di bawah tekanan dan memiliki pandangan yang luas (helicopter view) juga menjadi nilai tambah.",
MOBILE DEVELOPER (REACT NATIVE / FLUTTER),Jasa dan Konsultan IT,Yogyakarta,Contract,1,1,PT. Skyshi Digital Indonesia,"The ideal candidate for this position should have experience with either JavaScript or React Native using any framework, along with a minimum of 2 years of relevant working experience. Experience in unit testing, developing mobile apps with high transaction volumes, and familiarity with any mapping tools is required. Strong logical, analytical, and communication skills are essential, with a bonus if you can communicate effectively in written or spoken English. Proficiency in source code management using Git and the ability to work collaboratively with teams using agile and waterfall methodologies is necessary. The candidate should be ready to work onsite in Yogyakarta, or in a hybrid/remote setup.",
SOFTWARE QUALITY ASSURANCE (MANUAL / AUTOMATION),Jasa dan Konsultan IT,Yogyakarta,Contract,1,1,PT. Skyshi Digital Indonesia,"We are seeking candidates with a minimum of two years of proven work experience in software quality assurance, demonstrating their ability to create comprehensive and clear software documentation. The ideal candidate should possess a strong understanding of software QA methodologies, along with proficiency in tools such as Selenium and Katalon, and a solid grasp of the QA process. A deep knowledge of SQL and scripting is essential for effective analysis and issue troubleshooting. Familiarity with continuous integration and continuous deployment (CI/CD) processes is considered a significant advantage.",
FRONTEND DEVELOPER (REACTJS),Jasa dan Konsultan IT,Yogyakarta,Contract,1,1,PT. Skyshi Digital Indonesia,"We are looking for candidates who are experienced in either JavaScript or ReactJS, preferably with any framework. A minimum of two years of relevant working experience is required for this position. Strong logical and analytical skills, along with excellent communication abilities, are essential; fluency in written and spoken English is a bonus. Proficiency in source code management using Git is required. The ideal candidate should be capable of working collaboratively within a team environment using agile and waterfall methodologies. The role offers flexibility in terms of onsite, hybrid, or remote work arrangements based in Yogyakarta.",
BACKEND DEVELOPER (NODEJS),Jasa dan Konsultan IT,Yogyakarta,Contract,1,1,PT. Skyshi Digital Indonesia,"We're seeking candidates with experience in either JavaScript or NodeJS, preferably with any framework. A minimum of two years of related work experience is necessary. Strong logical, analytical, and communication skills are essential, with fluency in English being a bonus. Proficiency in source code management using Git is required, and the ability to collaborate within a team using agile methodologies is a must. This position offers flexibility for onsite, hybrid, or remote work arrangements based in Yogyakarta.",
BACKEND DEVELOPER (GOLANG),Jasa dan Konsultan IT,Yogyakarta,Contract,1,1,PT. Skyshi Digital Indonesia,"We're looking for candidates experienced in Go Gin, Fiber, or Echo Labstack frameworks with strong proficiency in the Go programming language. A minimum of two years of relevant working experience is required for this position. The role offers flexibility for onsite, hybrid, or remote work arrangements based in Yogyakarta.",
Fullstack Developer (Internship),Consultant IT,Malang,Intern,0,2,PT Sekawan Media Informatika,"We are open to applications from final-year students or recent graduates majoring in Informatics, Information Systems, or Information Technology. Active last-year students are also encouraged to apply. Candidates should have their personal laptop and a strong understanding of Front End Languages such as HTML, CSS, and Javascript. Knowledge of PHP and a grasp of Object-Oriented Programming (OOP) concepts are required. Familiarity with databases like MySQL and PostgreSQL is necessary. Experience with frameworks like Laravel & NodeJS and an understanding of RESTful principles would be a valuable asset. The position requires a commitment to intern on-site in Malang for a minimum of four months.",
Project Administrator & Support (Full-time),Consultant IT,Malang,Full-time,1,1,PT Sekawan Media Informatika,"We welcome candidates from all levels of education, including those majoring in Computer Science, Computer Engineering, Information Systems, or related fields. An understanding of project management and attention to detail are essential for this role. Strong interpersonal and communication skills, along with excellent organizational abilities, are required. Proficiency in Microsoft Office, Google Workspace, and Notion is preferred. The position requires willingness to work on-site in Malang, Jawa Timur.",
Fullstack Developer (Internship),Consultant IT,Malang,Intern,0,2,PT Sekawan Media Informatika,"We are actively seeking final-year students or recent graduates majoring in Informatics, Information Systems, or Information Technology, with a special welcome to active last-year students. Candidates should have their personal laptop and a strong grasp of Front End Languages such as HTML, CSS, and Javascript. Additionally, knowledge of PHP and a solid understanding of Object-Oriented Programming (OOP) concepts are required. Familiarity with databases like MySQL and PostgreSQL is necessary. Candidates with experience in Frameworks like Laravel & NodeJS and an understanding of RESTful principles are preferred. This internship opportunity requires a commitment to work on-site in Malang for a minimum of four months.",
Marketing (Internship),Consultant IT,Malang,Intern,0,1,PT Sekawan Media Informatika,"We're looking for final-year students or recent graduates majoring in Marketing, Business Administration, Management, Communication, or related fields. Candidates should have their own laptop and be proficient in Microsoft Office and Google Workspace. Basic knowledge of the sales and marketing process is required. This internship opportunity involves a commitment to work on-site in Malang for at least four months.",
SEO Specialist (Internship),Consultant IT,Malang,Intern,0,1,PT Sekawan Media Informatika,"We are seeking candidates with a maximum age preference below 25 years old and a minimum education level of SMK/D1/D3/S1/Fresh Graduate. The ideal candidate should demonstrate the ability to work effectively both within a team and independently. Keeping up to date with Google Algorithm changes is essential for this role. Proficiency in using Excel/sheet, Ahrefs, Screaming Frog, Semrush, Google Search Console (GSC), Google Analytics (GA), and all Google tools is required. Strong data analysis skills are also necessary. This internship requires a commitment to work on-site in Malang for a minimum of four months.",
Software Developer,IT services & IT consulting,Tangerang,Full-time,1,1,Agile Technica,"We are looking for candidates with a Bachelor's Degree in Computer Science or Software Engineering and at least 2 years of experience, though Senior Developers are also welcome to apply. Familiarity with at least one programming language, such as Python or Javascript, is required. Candidates should have a good understanding of web application development and a passion for cloud technologies, with a willingness to learn new technologies. The ability to work independently and confidently, as well as being comfortable reading and writing in English, is crucial. We value team players who are eager to learn and open to constructive feedback.",
Content Writer (Intern),Consultant IT,Malang,Intern,0,2,PT Sekawan Media Informatika,"Kami mencari kandidat dengan minimal pendidikan SMK/D1/D3/S1/Fresh Graduate, yang mampu menulis artikel dengan baik di halaman blog. Memiliki pemahaman tentang SEO akan menjadi nilai tambah, begitu juga kemampuan menggunakan platform WordPress. Kemampuan berbahasa Inggris yang baik, baik secara lisan maupun tulisan, sangat dihargai. Kandidat harus memiliki laptop pribadi dan bersedia ditempatkan di Kota Malang selama minimal 4 (empat) bulan. Kemampuan bekerja dalam tim maupun individu juga penting.",
Project Administrator (Internship),Consultant IT,Malang,Intern,0,1,PT Sekawan Media Informatika,"Kami membuka peluang bagi mereka yang memiliki pendidikan minimal SMA/SMK sederajat, D3/S1 dari semua jurusan untuk bergabung. Kandidat harus memiliki laptop pribadi dan siap menjalani magang selama minimal 4 bulan dengan penempatan di Kota Malang. Kemampuan untuk bekerja baik secara individu maupun dalam tim sangat dihargai. Kemahiran berbahasa Inggris yang cukup, baik secara lisan maupun tulisan, juga diperlukan. Kandidat diharapkan menguasai berbagai program Microsoft Office, memiliki kemampuan komunikasi yang baik, dan mampu membuat dokumen sesuai kebutuhan proyek.",
Tech Writer (Internship),Consultant IT,Malang,Intern,0,1,PT Sekawan Media Informatika,"Kami membuka kesempatan bagi mereka yang memiliki pendidikan minimal SMA/SMK sederajat, D3/S1 dari semua jurusan, khususnya dari latar belakang Informatika/Sistem Informasi, untuk bergabung. Kandidat diharapkan memiliki laptop pribadi dan bersedia menjalani magang selama minimal 4 bulan dengan penempatan di Kota Malang. Kemampuan untuk bekerja baik secara individu maupun dalam tim sangat dihargai. Kemahiran berbahasa Inggris yang cukup, baik secara lisan maupun tulisan, juga diperlukan. Kandidat diharapkan menguasai berbagai program Microsoft Office, memiliki kemampuan komunikasi yang baik, dan mampu membuat dokumen sesuai kebutuhan proyek. Selain itu, pengetahuan dan keterampilan dalam teknologi komputer, bahasa pemrograman, dan teknik pengolahan data sangat diutamakan. Kandidat diharapkan memiliki keterampilan dalam menggunakan alat dan teknik untuk mengembangkan aplikasi software dan hardware, teknologi komunikasi data, bahasa-bahasa pemrograman, dan sistem operasi. Pengetahuan tentang pengguna atau bisnis secara umum juga menjadi nilai tambah. Kemampuan mengoperasikan draw.io dan Figma juga sangat dihargai.",
Copywriter (Internship),Consultant IT,Malang,Intern,0,1,PT Sekawan Media Informatika,"Kami mencari kandidat dengan pendidikan minimal SMK/D1/D3/S1, terutama dari latar belakang jurusan Pemasaran, Informatika, Bahasa/Sastra, dan jurusan lain yang relevan. Kandidat harus memiliki laptop pribadi dan siap ditempatkan di Kota Malang selama minimal 4 bulan. Kemahiran dalam menguasai Microsoft Office dan Google Workspace sangat diharapkan.  Selain itu, kandidat diharapkan memiliki pengetahuan tentang teknik copywriting dan kemampuan menulis yang baik. Kemampuan berkomunikasi dalam bahasa Inggris, baik secara lisan maupun tulisan, juga diperlukan. Memahami cara penulisan konten untuk berbagai media/channel, membuat perancangan konten media sosial, iklan, dan materi pemasaran yang kreatif juga menjadi nilai tambah. Pengetahuan dan wawasan di bidang teknologi dan digital, serta pemahaman tentang media produksi dan komunikasi terkait dengan teknik dan metode penyebarannya, akan menjadi keuntungan tersendiri.",
